Kategorie: Alle Kategorien

Monat,Calima: (Kastilien-La Mancha),contaminacion: (Kastilien-La Mancha)
2005-01,0,0
2005-02,0,97
2005-03,0,0
2005-04,65,0
2005-05,95,0
2005-06,0,0
2005-07,0,0
2005-08,82,0
2005-09,0,0
2005-10,87,0
2005-11,0,0
2005-12,0,0
2006-01,0,42
2006-02,0,0
2006-03,0,47
2006-04,0,0
2006-05,0,45
2006-06,28,0
2006-07,0,0
2006-08,0,100
2006-09,0,0
2006-10,54,54
2006-11,0,0
2006-12,39,0
2007-01,60,69
2007-02,51,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,27
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,39
2008-10,0,0
2008-11,0,0
2008-12,0,22
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,41
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,15,0
2010-02,0,55
2010-03,0,34
2010-04,0,26
2010-05,0,0
2010-06,0,0
2010-07,40,48
2010-08,0,24
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,19,0
2011-01,0,1
2011-02,<1,2
2011-03,0,2
2011-04,0,2
2011-05,0,1
2011-06,1,1
2011-07,0,0
2011-08,1,1
2011-09,0,1
2011-10,0,2
2011-11,0,1
2011-12,1,1
2012-01,<1,1
2012-02,0,1
2012-03,0,1
2012-04,0,1
2012-05,0,2
2012-06,0,<1
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,1
2012-11,0,1
2012-12,0,0
2013-01,0,2
2013-02,0,1
2013-03,0,2
2013-04,1,2
2013-05,0,2
2013-06,0,1
2013-07,0,0
2013-08,<1,1
2013-09,0,<1
2013-10,0,1
2013-11,<1,1
2013-12,<1,1
2014-01,<1,1
2014-02,<1,2
2014-03,0,2
2014-04,0,2
2014-05,0,1
2014-06,<1,1
2014-07,0,1
2014-08,0,0
2014-09,0,1
2014-10,0,1
2014-11,1,<1
2014-12,0,2
