Kategorie: Alle Kategorien

Monat,Calima: (Galicien)
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,100
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,33
2006-07,0
2006-08,0
2006-09,25
2006-10,28
2006-11,0
2006-12,0
2007-01,0
2007-02,20
2007-03,12
2007-04,0
2007-05,0
2007-06,0
2007-07,40
2007-08,71
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,9
2008-02,0
2008-03,29
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,21
2009-06,0
2009-07,13
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,12
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,38
2010-09,0
2010-10,13
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,3
2011-05,0
2011-06,4
2011-07,0
2011-08,3
2011-09,0
2011-10,3
2011-11,0
2011-12,2
2012-01,0
2012-02,2
2012-03,0
2012-04,3
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,3
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,2
2013-12,4
2014-01,0
2014-02,0
2014-03,0
2014-04,2
2014-05,0
2014-06,0
2014-07,2
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,2
